Designator,Mid X,Mid Y,Layer,Rotation,Value,Footprint
C1,26.23,37.04,Top,90,100nF,603
C2,39.91,27.91,Top,0,100nF,603
C3,27,25.75,Top,270,100nF,603
CPHY,32.3,37.1,Top,90,100nF,603
CPLL,29.24,37.08,Top,90,100nF,603
CRESET,39.88,22.1,Top,0,10nF,603
CVBUS,31.54,15.1,Top,0,10uF,1206
CVCC,39.53,31.07,Top,90,10uF,1206
CVCCA,39.88,25.02,Top,0,100nF,603
CVCORE,39.88,26.42,Top,0,100nF,603
CX1,38.35,34.12,Top,0,27pF,402
CX2,35.26,36.07,Top,90,27pF,402
DDM,29.72,12.83,Top,180,5V,WE-VE_0603
DDP,32.77,12.83,Top,0,5V,WE-VE_0603
EEPROM,38.82,16.53,Top,90,93LC76B,SOT23-6
FBPHY,33.81,37.08,Top,270,600Ω/0.5A,603
FBPLL,27.72,37.08,Top,270,600Ω/0.5A,603
FTDI,32.66,29.38,Top,180,FT232HQFN,QFN48_8MM
FVBUS,27.29,14.65,Top,0,600Ω/0.5A,603
GATES,32.5,20.8,Top,90,7402TSSOP14,TSSOP14-RU
REE,38.85,19.86,Top,180,2.2k,603
RREF,30.78,37.12,Top,270,12k,603
RRESET,39.88,23.5,Top,180,10k,603
USB,29.69,2.93,Top,0,MINI-USB-B,MINI-USB-B
XTAL,37.95,36.43,Top,180,CRYSTAL,SMD3225-4P
